Absolute value: equality	|x|=a\\\hspace{20}x=-a\\\hspace{20}x=a
Unit circle	\unitlength{0.9}\picture(510,500){(260,250){\circle(400)}(60,250){\line(400)}(260,50){\line(0,400)}(119,109){\line(283,283)}(119,392){\line(283,-283)}(87,150){\line(346,200)}(160,77){\line(200,346)}(160,423){\line(200,-346)}(87,350){\line(346,-200)}(320,246){\sm0^\circ/360^\circ}(327,278){\sm30^\circ}(313,302){\sm45^\circ}(285,322){\sm60^\circ}(252,335){\sm90^\circ}(205,322){\sm120^\circ}(188,302){\sm135^\circ}(175,280){\sm150^\circ}(168,252){\sm180^\circ}(175,215){\sm210^\circ}(187,190){\sm225^\circ}(209,170){\sm240^\circ}(246,152){\sm270^\circ}(285,170){\sm300^\circ}(307,190){\sm315^\circ}(321,215){\sm330^\circ}(465,240){(1,0)}(437,345){\(\frac{sqrt{3}}{2},\frac{1}{2}\)}(400,393){\(\frac{sqrt{2}}{2},\frac{sqrt{2}}{2}\)}(355,431){\(\frac{1}{2},\frac{sqrt{3}}{2}\)}(240,455){(0,1)}(104,431){\(-\frac{1}{2},\frac{sqrt{3}}{2}\)}(37,393){\(-\frac{sqrt{2}}{2},\frac{sqrt{2}}{2}\)}(15,345){\(-\frac{sqrt{3}}{2},\frac{1}{2}\)}(0,240){(-1,0)}(5,120){\(-\frac{sqrt{3}}{2},-\frac{1}{2}\)}(25,80){\(-\frac{sqrt{2}}{2},-\frac{sqrt{2}}{2}\)}(80,41){\(-\frac{1}{2},-\frac{sqrt{3}}{2}\)}(233,23){(0,-1)}(350,41){\(\frac{1}{2},-\frac{sqrt{3}}{2}\)}(400,80){\(\frac{sqrt{2}}{2},-\frac{sqrt{2}}{2}\)}(430,120){\(\frac{sqrt{3}}{2},-\frac{1}{2}\)}(437,253){0}(430,233){2\pi}(425,315){\frac{\pi}{6}}(395,358){\frac{\pi}{4}}(358,390){\frac{\pi}{3}}(265,420){\frac{\pi}{2}}(146,385){\frac{2\pi}{3}}(112,353){\frac{3\pi}{4}}(84,313){\frac{5\pi}{6}}(70,252){\pi}(82,158){\frac{7\pi}{6}}(110,115){\frac{5\pi}{4}}(146,85){\frac{4\pi}{3}}(265,55){\frac{3\pi}{2}}(354,85){\frac{5\pi}{3}}(393,115){\frac{7\pi}{4}}(417,158){\frac{11\pi}{6}}}
Unit normal vector	\vec{N}(t)=\frac{\vec{T'}(t)}{|\vec{T'}(t)|}
Unit tangent vector	\vec{T}(t)=\frac{\vec{r'}(t)}{|\vec{r'}|}
Value of compound interest	A(t)=A_0(1+\frac{r}{n})^{nt}
Value of compound interest with recurring deposits	A(t)=A_0(1+\frac{r}{n})^{nt}+d\cdot\frac{(1+\frac{r}{n})^{nt}-1}{r/n}\cdot(1+\frac{r}{n})
Value of continuous compound interest	A(t)=A_0e^{kt}
Vector cross product	\vec{a}\times\vec{b}=\|a_1\hspace{10}a_2\hspace{10}a_3\\b_1\hspace{13}b_2\hspace{13}b_3\\c_1\hspace{12}c_2\hspace{12}c_3\|\\\hspace{36}=\<a_2b_3-a_3b_2,\hspace{5}a_3b_1-a_1b_3,\hspace{5}a_1b_2-a_2b_1\>\\|\vec{a}\times\vec{b}|=|\vec{a}||\vec{b}|\sin(\theta)
Vector dot product	\vec{a}\cdot\vec{b}=a_xb_x+a_yb_y+a_zb_z\\\vec{a}\cdot\vec{b}=|a||b|\cos(\theta)
Vector equation of a line	\vec{r}=\vec{r_0}+t\vec{v}
Vector equation of a line segment	\vec{r}(t)=(1-t)\vec{r_0}+t\vec{r_1}\hspace{30}0\le{t}\le1
Vector equation of a plane	vector:\\\vec{n}\cdot(\vec{r}-\vec{r_0})=0\\scalar:\\a(x-x_0)+b(y-y_0)+c(z-z_0)=0\\ax+by+cz+d=0
Vector projection	comp_{\vec{a}}\vec{b}=\frac{\vec{a}\cdot\vec{b}}{|\vec{a}|}\\proj_{\vec{a}}\vec{b}=\(\frac{\vec{a}\cdot\vec{b}}{|\vec{a}|}\)\frac{\vec{a}}{|\vec{a}|}=\(\frac{\vec{a}\cdot\vec{b}}{|\vec{a}|^2}\)\vec{a}
Volume of a cone	V=\frac{1}{3}{\pi}r^2h
Volume of a cylinder	V={\pi}r^2h
Volume of a sphere	V=\frac{4}{3}{\pi}r^3
Volume of revolution: disk method	V=\int_a^b{{\pi}f(x)^2}dx
Volume of revolution: ring method	V=\int_a^b{{\pi}[f(x)^2-g(x)^2]}dx
Volume of revolution: shell method	V=\int_a^b{2{\pi}xf(x)}dx\hspace{30}0\le{a}\lt{b}\\V=\int_a^b{2{\pi}x[f(x)-g(x)]}dx\hspace{20}0\le{a}\lt{b}
Volume over general region (double integral)	V=\int_R\int{f(x,y)}dA
